name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White_population,Black_population,American_Indian_population,Asian_population,Hispanic_or_Latino_population,High_school_or_higher,Graduate_or_professional_degree,Unemployed,average_price,review_count_binned
Middle East Restaurant and Nightclub,42.3637902,-71.1012764,2139,Cambridge,MA,$$,3.5,531,mideastern&musicvenues&bars,1,Full Bar,0,Street,1,0,0,Hipster,Casual,3,18,10,19,9,24,16,9,22,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,20,Meadium to Large Reviews
Boston Beer Works,42.3472099,-71.09913,2215,Boston,MA,$$,3.5,691,breweries&tradamerican&beerbar,1,Full Bar,0,Street,1,1,0,Casual,Casual,2,24,6,34,14,21,21,6,23,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,20,large Number of Reviews
Craigie On Main,42.3634818,-71.09861289,2139,Cambridge,MA,$$$$,4,1216,newamerican&french&bars,1,Full Bar,0,Valet& Garage& Street,0,1,0,Casual,Casual,2,16,8,17,8,31,15,9,17,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,60,Very Popular Resturant
Gyro City,42.34316228,-71.09899293,2215,Boston,MA,$,4,283,greek&mediterranean,1,No,1,Street,1,0,0,Casual,Casual,2,15,3,20,3,17,14,3,11,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,10,Medium No Reviews
Porcinis Italian Restaurant,42.36483,-71.1667,2472,Watertown,MA,$$,4,167,italian&seafood&mediterranean,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,4,1,3,1,7,1,3,7,0.76009197,0.026106697,0.000727611,0.067056666,0.049302948,0.961,0.311,0.044,20,Medium No Reviews
Eastern Standard Kitchen & Drinks,42.34874032,-71.09601684,2215,Boston,MA,$$$,4,1749,newamerican&lounges&breakfast_brunch,1,Full Bar,1,Valet& Street,1,1,0,Classy,Casual,2,18,4,26,11,16,8,8,20,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,45,Very Popular Resturant
Cuchi Cuchi,42.36334,-71.09713,2139,Cambridge,MA,$$$,4,1066,tapasmallplates&wine_bars&cocktailbars,1,Full Bar,0,Street,0,1,0,Trendy,Casual,3,12,5,17,5,23,13,10,20,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,45,Very Popular Resturant
Island Creek Oyster Bar,42.34868224,-71.09511845,2215,Boston,MA,$$$,4.5,2486,seafood&bars,1,Full Bar,0,Valet& Street,0,1,0,Trendy,Casual,2,16,4,27,6,14,8,8,24,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,45,Very Popular Resturant
Trattoria Pulcinella,42.3827371,-71.13073979,2138,Cambridge,MA,$$$,3,47,italian,1,Beer & Wine Only,1,Street,1,1,0,Romantic,Casual,4,3,1,1,3,10,2,1,7,0.663173573,0.060056386,0.001489441,0.143225703,0.059710623,1.001,0.561,0.039,45,Small No Reviews
Bondir Cambridge,42.3682904,-71.0977689,2139,Cambridge,MA,$$$$,4,313,newamerican,1,Beer & Wine Only,0,Street,1,1,0,Intimate,Casual,4,2,1,2,8,24,5,5,19,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,60,Meadium to Large Reviews
Giulia,42.38251,-71.1200999,2138,Cambridge,MA,$$$,4.5,393,italian,1,Full Bar,0,Street,0,1,0,Intimate,Casual,2,3,1,4,6,4,3,2,21,0.663173573,0.060056386,0.001489441,0.143225703,0.059710623,1.001,0.561,0.039,45,Meadium to Large Reviews
Temple Bar,42.38273,-71.12006,2138,Cambridge,MA,$$,3.5,487,newamerican&bars,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,4,1,4,6,4,4,2,20,0.663173573,0.060056386,0.001489441,0.143225703,0.059710623,1.001,0.561,0.039,20,Meadium to Large Reviews
